ReceiptTS,Source,mktTS,px,qty,side
2021-05-16 16:32:12.499659172+00:00,Binance,2021-05-16 16:32:12.125000+00:00,47575.44,0.005559,Sell
2021-05-16 16:32:12.499681090+00:00,Binance,2021-05-16 16:32:12.128000+00:00,47575.44,0.005561,Sell
2021-05-16 16:32:12.499705171+00:00,Binance,2021-05-16 16:32:12.129000+00:00,47575.44,0.005559,Sell
2021-05-16 16:32:12.501496348+00:00,Binance,2021-05-16 16:32:12.222000+00:00,47577.72,0.00042,Buy
2021-05-16 16:32:12.501513926+00:00,Binance,2021-05-16 16:32:12.222000+00:00,47580.0,0.001365,Buy
2021-05-16 16:32:12.501530082+00:00,Binance,2021-05-16 16:32:12.222000+00:00,47580.09,0.000825,Buy
2021-05-16 16:32:12.501582713+00:00,Binance,2021-05-16 16:32:12.225000+00:00,47580.09,0.000999,Buy
2021-05-16 16:32:12.501653346+00:00,Binance,2021-05-16 16:32:12.233000+00:00,47577.71,0.005654,Sell
2021-05-16 16:32:12.501793054+00:00,Binance,2021-05-16 16:32:12.247000+00:00,47577.72,0.0183,Buy
2021-05-16 16:32:12.582004550+00:00,Binance,2021-05-16 16:32:12.277000+00:00,47577.72,0.0183,Buy
2021-05-16 16:32:12.582141816+00:00,Binance,2021-05-16 16:32:12.285000+00:00,47577.72,0.008612,Buy
2021-05-16 16:32:12.582195933+00:00,Binance,2021-05-16 16:32:12.287000+00:00,47577.71,0.037284,Sell
2021-05-16 16:32:12.582356458+00:00,Binance,2021-05-16 16:32:12.291000+00:00,47577.71,0.040273,Sell
2021-05-16 16:32:12.584122988+00:00,Binance,2021-05-16 16:32:12.310000+00:00,47577.72,0.394788,Buy
2021-05-16 16:32:12.584141229+00:00,Binance,2021-05-16 16:32:12.310000+00:00,47580.07,0.097663,Buy
2021-05-16 16:32:12.584159797+00:00,Binance,2021-05-16 16:32:12.310000+00:00,47580.08,0.00084,Buy
2021-05-16 16:32:12.584177367+00:00,Binance,2021-05-16 16:32:12.310000+00:00,47580.09,0.089159,Buy
2021-05-16 16:32:12.584683935+00:00,Binance,2021-05-16 16:32:12.327000+00:00,47580.08,0.003004,Sell
2021-05-16 16:32:12.584776446+00:00,Binance,2021-05-16 16:32:12.335000+00:00,47580.08,0.165355,Sell
2021-05-16 16:32:12.584928294+00:00,Binance,2021-05-16 16:32:12.351000+00:00,47580.08,0.051641,Sell
2021-05-16 16:32:12.584946102+00:00,Binance,2021-05-16 16:32:12.351000+00:00,47575.65,0.038086,Sell
2021-05-16 16:32:12.584963931+00:00,Binance,2021-05-16 16:32:12.351000+00:00,47568.61,0.27,Sell
2021-05-16 16:32:12.584981365+00:00,Binance,2021-05-16 16:32:12.351000+00:00,47567.37,0.216861,Sell
2021-05-16 16:32:12.585111550+00:00,Binance,2021-05-16 16:32:12.363000+00:00,47566.58,0.0056,Sell
2021-05-16 16:32:12.588706737+00:00,Huobi,2021-05-16 16:32:12.460000+00:00,47574.8,0.001,Sell
2021-05-16 16:32:12.619006656+00:00,Huobi,2021-05-16 16:32:12.493000+00:00,47570.8,0.0011,Buy
2021-05-16 16:32:12.624329081+00:00,Huobi,2021-05-16 16:32:12.499000+00:00,47574.8,0.00072,Buy
2021-05-16 16:32:12.643505835+00:00,Binance,2021-05-16 16:32:12.385000+00:00,47580.09,0.000442,Buy
2021-05-16 16:32:12.643708272+00:00,Binance,2021-05-16 16:32:12.427000+00:00,47579.22,0.211357,Sell
2021-05-16 16:32:12.643732902+00:00,Binance,2021-05-16 16:32:12.431000+00:00,47579.22,0.004804,Sell
2021-05-16 16:32:12.643880221+00:00,Binance,2021-05-16 16:32:12.462000+00:00,47579.22,0.21183,Sell
2021-05-16 16:32:12.672715503+00:00,OKEx,2021-05-16 16:32:12.492000+00:00,47568.5,0.00344195,Buy
2021-05-16 16:32:12.673018211+00:00,OKEx,2021-05-16 16:32:12.492000+00:00,47568.5,0.00568,Buy
2021-05-16 16:32:12.673122081+00:00,OKEx,2021-05-16 16:32:12.492000+00:00,47568.5,1.223e-05,Buy
2021-05-16 16:32:12.673245789+00:00,OKEx,2021-05-16 16:32:12.492000+00:00,47568.5,1.296e-05,Buy
2021-05-16 16:32:12.675091349+00:00,Binance,2021-05-16 16:32:12.474000+00:00,47579.22,0.15344,Sell
2021-05-16 16:32:12.676147137+00:00,OKEx,2021-05-16 16:32:12.492000+00:00,47573.3,0.00902634,Buy
2021-05-16 16:32:12.676272424+00:00,Binance,2021-05-16 16:32:12.504000+00:00,47579.22,8E-06,Sell
2021-05-16 16:32:12.699682076+00:00,Binance,2021-05-16 16:32:12.540000+00:00,47570.21,0.007019,Buy
2021-05-16 16:32:12.699776435+00:00,Binance,2021-05-16 16:32:12.540000+00:00,47570.21,0.007021,Buy
2021-05-16 16:32:12.699880842+00:00,Binance,2021-05-16 16:32:12.543000+00:00,47570.21,0.007019,Buy
2021-05-16 16:32:12.699896892+00:00,Binance,2021-05-16 16:32:12.553000+00:00,47567.73,0.026484,Sell
2021-05-16 16:32:12.699915505+00:00,Binance,2021-05-16 16:32:12.553000+00:00,47567.45,0.00042,Sell
2021-05-16 16:32:12.699931598+00:00,Binance,2021-05-16 16:32:12.553000+00:00,47564.21,0.324394,Sell
2021-05-16 16:32:12.699948453+00:00,Binance,2021-05-16 16:32:12.553000+00:00,47564.19,0.00261,Sell
2021-05-16 16:32:12.699964781+00:00,Binance,2021-05-16 16:32:12.553000+00:00,47564.17,0.00261,Sell
2021-05-16 16:32:12.699983187+00:00,Binance,2021-05-16 16:32:12.553000+00:00,47563.92,0.2,Sell
2021-05-16 16:32:12.700000486+00:00,Binance,2021-05-16 16:32:12.553000+00:00,47563.52,0.032007,Sell
2021-05-16 16:32:12.700018760+00:00,Binance,2021-05-16 16:32:12.553000+00:00,47562.44,0.427158,Sell
2021-05-16 16:32:12.712333007+00:00,Huobi,2021-05-16 16:32:12.516000+00:00,47570.8,0.00075,Buy
2021-05-16 16:32:12.713258194+00:00,Huobi,2021-05-16 16:32:12.543000+00:00,47570.79,0.004804,Sell
2021-05-16 16:32:12.736494148+00:00,Binance,2021-05-16 16:32:12.572000+00:00,47567.46,0.000601,Buy
2021-05-16 16:32:12.736511177+00:00,Binance,2021-05-16 16:32:12.583000+00:00,47567.46,0.018,Buy
2021-05-16 16:32:12.744574560+00:00,Huobi,2021-05-16 16:32:12.586000+00:00,47570.79,0.009264,Sell
2021-05-16 16:32:12.753201250+00:00,Huobi,2021-05-16 16:32:12.628000+00:00,47570.79,0.009255,Sell
2021-05-16 16:32:12.806484863+00:00,OKEx,2021-05-16 16:32:12.628000+00:00,47573.2,0.02941686,Sell
2021-05-16 16:32:12.858517447+00:00,Huobi,2021-05-16 16:32:12.716000+00:00,47570.8,0.00025,Buy
2021-05-16 16:32:12.865510383+00:00,Huobi,2021-05-16 16:32:12.730000+00:00,47570.79,0.009255,Sell
2021-05-16 16:32:12.876873164+00:00,Huobi,2021-05-16 16:32:12.744000+00:00,47570.8,0.00075,Buy
2021-05-16 16:32:12.899443792+00:00,Binance,2021-05-16 16:32:12.632000+00:00,47567.46,0.019838,Buy
2021-05-16 16:32:12.921065866+00:00,Huobi,2021-05-16 16:32:12.781000+00:00,47570.79,0.000139,Sell
2021-05-16 16:32:12.921114829+00:00,Huobi,2021-05-16 16:32:12.786000+00:00,47570.79,0.009255,Sell
2021-05-16 16:32:12.978498002+00:00,Huobi,2021-05-16 16:32:12.852000+00:00,47570.79,0.0032,Sell
2021-05-16 16:32:12.980145253+00:00,Binance,2021-05-16 16:32:12.734000+00:00,47567.45,0.007562,Sell
2021-05-16 16:32:12.980351991+00:00,Binance,2021-05-16 16:32:12.757000+00:00,47567.46,0.018,Buy
2021-05-16 16:32:12.980385958+00:00,Binance,2021-05-16 16:32:12.764000+00:00,47567.45,0.006196,Sell
2021-05-16 16:32:12.980552781+00:00,Binance,2021-05-16 16:32:12.787000+00:00,47567.46,0.019269,Buy
2021-05-16 16:32:13.020443948+00:00,Binance,2021-05-16 16:32:12.798000+00:00,47567.46,0.00021,Buy
2021-05-16 16:32:13.020587883+00:00,Binance,2021-05-16 16:32:12.814000+00:00,47567.46,0.021602,Buy
2021-05-16 16:32:13.020826107+00:00,Binance,2021-05-16 16:32:12.863000+00:00,47566.22,0.033955,Sell
2021-05-16 16:32:13.027144554+00:00,Huobi,2021-05-16 16:32:12.899000+00:00,47570.79,0.004124,Sell
2021-05-16 16:32:13.072320272+00:00,Binance,2021-05-16 16:32:12.938000+00:00,47566.22,0.098113,Sell
2021-05-16 16:32:13.083844946+00:00,Huobi,2021-05-16 16:32:12.910000+00:00,47569.0,0.001053,Sell
2021-05-16 16:32:13.094453646+00:00,Binance,2021-05-16 16:32:12.947000+00:00,47566.23,0.000764,Buy
2021-05-16 16:32:13.121864428+00:00,Binance,2021-05-16 16:32:12.983000+00:00,47566.22,0.002329,Sell
2021-05-16 16:32:13.124505681+00:00,Huobi,2021-05-16 16:32:12.999000+00:00,47564.89,0.00067,Buy
2021-05-16 16:32:13.131604881+00:00,Huobi,2021-05-16 16:32:13.003000+00:00,47564.89,0.00105,Buy
2021-05-16 16:32:13.131769341+00:00,Huobi,2021-05-16 16:32:13.003000+00:00,47564.89,0.000224,Buy
2021-05-16 16:32:13.131864803+00:00,Huobi,2021-05-16 16:32:13.004000+00:00,47564.89,0.00085,Buy
2021-05-16 16:32:13.161570484+00:00,Huobi,2021-05-16 16:32:13.035000+00:00,47564.89,0.00016,Buy
2021-05-16 16:32:13.232799705+00:00,OKEx,2021-05-16 16:32:13.054000+00:00,47562.8,0.00592188,Buy
2021-05-16 16:32:13.233231124+00:00,OKEx,2021-05-16 16:32:13.054000+00:00,47562.8,0.00482773,Buy
2021-05-16 16:32:13.240374756+00:00,Binance,2021-05-16 16:32:13.032000+00:00,47566.22,0.075889,Sell
2021-05-16 16:32:13.274514534+00:00,Huobi,2021-05-16 16:32:13.107000+00:00,47568.55,0.00084,Sell
2021-05-16 16:32:13.285076117+00:00,Huobi,2021-05-16 16:32:13.143000+00:00,47564.88,0.004922,Sell
2021-05-16 16:32:13.339759891+00:00,Huobi,2021-05-16 16:32:13.151000+00:00,47563.07,0.010506,Sell
2021-05-16 16:32:13.339838407+00:00,Huobi,2021-05-16 16:32:13.160000+00:00,47563.1,0.003994,Sell
2021-05-16 16:32:13.339960661+00:00,Huobi,2021-05-16 16:32:13.163000+00:00,47563.1,0.010505,Sell
2021-05-16 16:32:13.382769599+00:00,Huobi,2021-05-16 16:32:13.215000+00:00,47564.88,0.010505,Sell
2021-05-16 16:32:13.389478203+00:00,Binance,2021-05-16 16:32:13.240000+00:00,47566.22,0.000231,Buy
2021-05-16 16:32:13.406346393+00:00,Huobi,2021-05-16 16:32:13.255000+00:00,47564.89,0.0007,Buy
2021-05-16 16:32:13.406402502+00:00,Huobi,2021-05-16 16:32:13.257000+00:00,47564.89,0.0008,Buy
2021-05-16 16:32:13.406451529+00:00,Huobi,2021-05-16 16:32:13.261000+00:00,47564.89,0.00115,Buy
2021-05-16 16:32:13.406509225+00:00,Huobi,2021-05-16 16:32:13.266000+00:00,47564.89,0.001,Buy
2021-05-16 16:32:13.408234360+00:00,Huobi,2021-05-16 16:32:13.278000+00:00,47564.89,0.00055,Buy
2021-05-16 16:32:13.409402354+00:00,Huobi,2021-05-16 16:32:13.283000+00:00,47564.89,0.00095,Buy
2021-05-16 16:32:13.476254968+00:00,Binance,2021-05-16 16:32:13.319000+00:00,47566.22,0.008019,Buy
2021-05-16 16:32:13.486440595+00:00,Binance,2021-05-16 16:32:13.352000+00:00,47566.22,0.0183,Buy
2021-05-16 16:32:13.542352810+00:00,Binance,2021-05-16 16:32:13.395000+00:00,47566.21,0.610982,Sell
2021-05-16 16:32:13.581523618+00:00,Binance,2021-05-16 16:32:13.417000+00:00,47566.22,0.028583,Buy
2021-05-16 16:32:13.600212905+00:00,Huobi,2021-05-16 16:32:13.442000+00:00,47564.88,0.004416,Sell
2021-05-16 16:32:13.607764953+00:00,Binance,2021-05-16 16:32:13.429000+00:00,47566.21,0.067529,Sell
2021-05-16 16:32:13.618925190+00:00,Huobi,2021-05-16 16:32:13.465000+00:00,47564.88,0.004875,Sell
2021-05-16 16:32:13.638434250+00:00,Huobi,2021-05-16 16:32:13.487000+00:00,47564.89,0.005355,Buy
2021-05-16 16:32:13.667680028+00:00,Huobi,2021-05-16 16:32:13.535000+00:00,47568.54,0.0009,Buy
2021-05-16 16:32:13.684807895+00:00,Binance,2021-05-16 16:32:13.463000+00:00,47566.22,0.0183,Buy
2021-05-16 16:32:13.685133494+00:00,Binance,2021-05-16 16:32:13.480000+00:00,47566.21,0.008509,Sell
2021-05-16 16:32:13.685150250+00:00,Binance,2021-05-16 16:32:13.480000+00:00,47566.22,0.04,Buy
2021-05-16 16:32:13.685165794+00:00,Binance,2021-05-16 16:32:13.480000+00:00,47566.22,0.01,Buy
2021-05-16 16:32:13.685217099+00:00,Binance,2021-05-16 16:32:13.482000+00:00,47566.22,0.061,Buy
2021-05-16 16:32:13.685255729+00:00,Binance,2021-05-16 16:32:13.483000+00:00,47566.22,0.05,Buy
2021-05-16 16:32:13.685292388+00:00,Binance,2021-05-16 16:32:13.485000+00:00,47566.22,0.059377,Buy
2021-05-16 16:32:13.688443474+00:00,Huobi,2021-05-16 16:32:13.550000+00:00,47568.54,0.0001,Buy
2021-05-16 16:32:13.688531240+00:00,Huobi,2021-05-16 16:32:13.552000+00:00,47570.8,0.00115,Buy
2021-05-16 16:32:13.688608266+00:00,Huobi,2021-05-16 16:32:13.553000+00:00,47570.8,0.00085,Buy
2021-05-16 16:32:13.688647654+00:00,Huobi,2021-05-16 16:32:13.554000+00:00,47570.8,0.003835,Buy
2021-05-16 16:32:13.690381032+00:00,Huobi,2021-05-16 16:32:13.556000+00:00,47571.51,0.000522,Buy
2021-05-16 16:32:13.697096502+00:00,Huobi,2021-05-16 16:32:13.566000+00:00,47580.52,0.000394,Buy
2021-05-16 16:32:13.730049715+00:00,Binance,2021-05-16 16:32:13.497000+00:00,47566.22,1.172536,Buy
2021-05-16 16:32:13.730500795+00:00,Binance,2021-05-16 16:32:13.527000+00:00,47567.44,0.020281,Sell
2021-05-16 16:32:13.730542799+00:00,Binance,2021-05-16 16:32:13.529000+00:00,47567.44,0.002594,Sell
2021-05-16 16:32:13.752064986+00:00,Huobi,2021-05-16 16:32:13.623000+00:00,47574.8,0.004526,Sell
2021-05-16 16:32:13.763310428+00:00,Binance,2021-05-16 16:32:13.577000+00:00,47567.45,0.000417,Buy
2021-05-16 16:32:13.783972915+00:00,Binance,2021-05-16 16:32:13.627000+00:00,47567.45,3E-06,Buy
2021-05-16 16:32:13.783994319+00:00,Binance,2021-05-16 16:32:13.627000+00:00,47567.5,0.003122,Buy
2021-05-16 16:32:13.784009824+00:00,Binance,2021-05-16 16:32:13.627000+00:00,47577.52,0.006875,Buy
2021-05-16 16:32:13.834097117+00:00,Huobi,2021-05-16 16:32:13.702000+00:00,47575.62,0.008785,Sell
2021-05-16 16:32:13.848301299+00:00,Huobi,2021-05-16 16:32:13.722000+00:00,47574.93,0.0049,Sell
2021-05-16 16:32:13.859072165+00:00,Binance,2021-05-16 16:32:13.728000+00:00,47568.56,0.003005,Sell
2021-05-16 16:32:13.887943824+00:00,Binance,2021-05-16 16:32:13.757000+00:00,47568.62,0.021815,Sell
